epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,232.542,0.86042,1.18119,1.06174,0.93857,0.875,0.94357,0.81755,0.5593,1.08286,0.79274,0.0005842,0.0005842,0.0005842
44,238.213,0.7447,1.18315,0.96204,0.94408,0.875,0.94357,0.81136,0.56839,1.07913,0.79208,0.0005743,0.0005743,0.0005743
45,243.519,0.87056,1.20346,1.14571,0.98163,0.875,0.94885,0.81418,0.57428,1.08162,0.79278,0.0005644,0.0005644,0.0005644
46,249.002,0.74372,1.06611,0.97028,0.98163,0.875,0.94885,0.81418,0.57428,1.08162,0.79278,0.0005545,0.0005545,0.0005545
47,254.858,0.86473,1.22909,1.01729,1,0.85262,0.94885,0.83569,0.56175,1.04454,0.78719,0.0005446,0.0005446,0.0005446
48,260.475,0.7891,1.11202,0.97902,0.77648,0.875,0.9326,0.81986,0.56417,1.02009,0.78683,0.0005347,0.0005347,0.0005347
49,266.887,0.82312,1.11501,1.05828,0.87465,0.87252,0.94602,0.82441,0.56227,0.99607,0.78632,0.0005248,0.0005248,0.0005248
50,272.766,0.91802,1.28767,1.10781,0.77069,0.875,0.93338,0.81357,0.56952,1.00266,0.78815,0.0005149,0.0005149,0.0005149
51,279.562,0.84006,1.07465,1.02249,0.70313,1,0.93338,0.78758,0.57648,1.01355,0.79102,0.000505,0.000505,0.000505
52,285.388,0.84783,1.03797,1.02785,0.70466,1,0.93338,0.78314,0.5803,1.02102,0.79289,0.0004951,0.0004951,0.0004951
